Date Lifted,Exercise,Weight (kg),Weight (lb),Reps,Bodyweight (kg),Bodyweight (lb),Percentile (%),Warmup
2025-05-23,Bench Press,73,160.9,12,102.4,225.8,27.6,0
2025-05-23,Bench Press,73,160.9,12,102.4,225.8,27.6,0
2025-05-23,Bench Press,73,160.9,12,102.4,225.8,27.6,0
2025-05-23,Bench Press,73,160.9,8,102.4,225.8,16.6,0
2025-05-23,Bench Press,73,160.9,6,102.4,225.8,12.2,0
2025-05-21,Bench Press,75,165.4,6,102.4,225.8,13.8,0
2025-05-21,Bench Press,75,165.4,6,102.4,225.8,13.8,0
2025-05-21,Bench Press,75,165.4,8,102.4,225.8,18.8,0
2025-05-19,Bench Press,71.5,157.6,12,102.4,225.8,25.5,0
2025-05-19,Bench Press,71.5,157.6,12,102.4,225.8,25.5,0
2025-05-19,Bench Press,71.5,157.6,12,102.4,225.8,25.5,0
2025-05-19,Bench Press,71.5,157.6,12,102.4,225.8,25.5,0
2025-05-16,Bench Press,70,154.3,12,102.4,225.8,23.4,0
2025-05-16,Bench Press,70,154.3,12,102.4,225.8,23.4,0
2025-05-16,Bench Press,70,154.3,12,102.4,225.8,23.4,0
2025-05-16,Bench Press,70,154.3,12,102.4,225.8,23.4,0
2025-05-11,Bench Press,75,165.4,12,102.4,225.8,30.7,0
2025-05-11,Bench Press,75,165.4,11,102.4,225.8,28,0
2025-05-11,Bench Press,75,165.4,8,102.4,225.8,18.8,0
2025-05-11,Bench Press,70,154.3,9,102.4,225.8,16.2,0
2025-05-07,Bench Press,80,176.4,7,102.4,225.8,21.5,0
2025-05-07,Bench Press,80,176.4,7,102.4,225.8,21.5,0
2025-05-07,Bench Press,80,176.4,7,102.4,225.8,21.5,0
2025-05-05,Bench Press,97,213.9,5,102.4,225.8,35.3,0
2025-05-05,Bench Press,97,213.9,5,102.4,225.8,35.3,0
2025-05-05,Bench Press,97,213.9,5,102.4,225.8,35.3,0
2025-05-05,Bench Press,97,213.9,4,102.4,225.8,31.6,0
2025-05-02,Bench Press,90,198.4,5,102.4,225.8,26.7,0
2025-05-02,Bench Press,90,198.4,5,102.4,225.8,26.7,0
2025-05-02,Bench Press,90,198.4,5,102.4,225.8,26.7,0
2025-04-30,Bench Press,80,176.4,5,102.4,225.8,16.2,0
2025-04-30,Bench Press,80,176.4,5,102.4,225.8,16.2,0
2025-04-30,Bench Press,80,176.4,5,102.4,225.8,16.2,0
2025-04-28,Bench Press,95,209.4,5,102.4,225.8,32.8,0
2025-04-28,Bench Press,95,209.4,5,102.4,225.8,32.8,0
2025-04-28,Bench Press,95,209.4,4,102.4,225.8,29.2,0
2025-04-28,Bench Press,95,209.4,5,102.4,225.8,32.8,0
2025-04-23,Bench Press,95,209.4,5,102.4,225.8,32.8,0
2025-04-23,Bench Press,95,209.4,5,102.4,225.8,32.8,0
2025-04-23,Bench Press,95,209.4,4,102.4,225.8,29.3,0
2025-04-23,Bench Press,95,209.4,4,102.4,225.8,29.3,0
2025-04-18,Bench Press,87.5,192.9,5,102.4,225.8,23.9,0
2025-04-18,Bench Press,87.5,192.9,5,102.4,225.8,23.9,0
